beta,z_dim,lr,AUROC,AP
1.0,3,0.001,0.6607466866117705,0.07828690130728555
1.0,3,0.0005,0.6743371359362059,0.07957908632886546
1.0,3,0.0001,0.6917499989902364,0.08330966256317213
1.0,5,0.001,0.67010762241718,0.07405262283481565
1.0,5,0.0005,0.6621921232932751,0.07675848366189825
1.0,5,0.0001,0.6909095757643064,0.07537492341848981
1.0,10,0.001,0.6689283425919736,0.07558862325169848
1.0,10,0.0005,0.6622638542673266,0.07507178943059903
1.0,10,0.0001,0.6905461709056486,0.07529874074237229
2.0,3,0.001,0.6684103489670515,0.07091950074081035
2.0,3,0.0005,0.6695882792043657,0.07644275899205237
2.0,3,0.0001,0.6881289219822464,0.07510986117457706
2.0,5,0.001,0.6717573442005531,0.07098774626589523
2.0,5,0.0005,0.67050774124478,0.07195193192318433
2.0,5,0.0001,0.6851139178185682,0.0738381104911554
2.0,10,0.001,0.6781138513899317,0.07611942656701588
2.0,10,0.0005,0.6815554396811067,0.07489169772643248
2.0,10,0.0001,0.6811700854097755,0.07312330251010082
5.0,3,0.001,0.6728329484896973,0.07160731106694126
5.0,3,0.0005,0.6738538852993471,0.07088529481768721
5.0,3,0.0001,0.6697791094219885,0.06956035760299367
5.0,5,0.001,0.673044228577891,0.0704907964694319
5.0,5,0.0005,0.67076412842246,0.06998777896723463
5.0,5,0.0001,0.66880689478498,0.06948402591385358
5.0,10,0.001,0.6768368553600117,0.07189810597352837
5.0,10,0.0005,0.6730132668093016,0.07057955529337807
5.0,10,0.0001,0.672457027309117,0.07069779842175732
