,n_estimators,contamination,max_features,AUROC,AP
0,50,0.03,0.5,0.7325871013453298,0.0750048303811613
1,50,0.03,0.75,0.725686171910579,0.07198918925335934
2,50,0.03,1.0,0.7150040650752424,0.06586597394834469
3,50,0.035,0.5,0.7325871013453298,0.0750048303811613
4,50,0.035,0.75,0.725686171910579,0.07198918925335934
5,50,0.035,1.0,0.7150040650752424,0.06586597394834469
6,50,0.04,0.5,0.7325871013453298,0.0750048303811613
7,50,0.04,0.75,0.725686171910579,0.07198918925335934
8,50,0.04,1.0,0.7150040650752424,0.06586597394834469
9,100,0.03,0.5,0.7228294287731051,0.07017580603419685
10,100,0.03,0.75,0.7345671042890064,0.07484348665054345
11,100,0.03,1.0,0.7206334173289795,0.06805655117376971
12,100,0.035,0.5,0.7228294287731051,0.07017580603419685
13,100,0.035,0.75,0.7345671042890064,0.07484348665054345
14,100,0.035,1.0,0.7206334173289795,0.06805655117376971
15,100,0.04,0.5,0.7228294287731051,0.07017580603419685
16,100,0.04,0.75,0.7345671042890064,0.07484348665054345
17,100,0.04,1.0,0.7206334173289795,0.06805655117376971
18,150,0.03,0.5,0.7293574447419382,0.07159152907875285
19,150,0.03,0.75,0.7286999257366338,0.07296122526106066
20,150,0.03,1.0,0.7268362236104755,0.07015700922304416
21,150,0.035,0.5,0.7293574447419382,0.07159152907875285
22,150,0.035,0.75,0.7286999257366338,0.07296122526106066
23,150,0.035,1.0,0.7268362236104755,0.07015700922304416
24,150,0.04,0.5,0.7293574447419382,0.07159152907875285
25,150,0.04,0.75,0.7286999257366338,0.07296122526106066
26,150,0.04,1.0,0.7268362236104755,0.07015700922304416
27,200,0.03,0.5,0.7273928525600838,0.07042464216094639
28,200,0.03,0.75,0.7327626038692899,0.07332040946511102
29,200,0.03,1.0,0.7285944529076633,0.07096343960853287
30,200,0.035,0.5,0.7273928525600838,0.07042464216094639
31,200,0.035,0.75,0.7327626038692899,0.07332040946511102
32,200,0.035,1.0,0.7285944529076633,0.07096343960853287
33,200,0.04,0.5,0.7273928525600838,0.07042464216094639
34,200,0.04,0.75,0.7327626038692899,0.07332040946511102
35,200,0.04,1.0,0.7285944529076633,0.07096343960853287
